Symbol	N01_AM_Naive_01	N02_AM_Naive_02	N03_AM_Naive_03	N04_AM_Naive_04	R01_AM_Allo_02H_01	R02_AM_Allo_02H_02	R03_AM_Allo_02H_03	R04_AM_Allo_02H_04	R05_AM_Allo_24H_01	R06_AM_Allo_24H_02	R07_AM_Allo_24H_03	R08_AM_Allo_24H_04
ENSMUSG00000000530	4.674971714	3.936694604	4.227115492	4.733683293	4.279509271	3.782676194	3.891431681	4.50058574	2.346621893	1.755907054	2.407211981	2.360632617
ENSMUSG00000000531	0.225905857	0.18794411	0.26550492	0.325080736	0.966271289	0.960197673	0.462512298	0.617292219	0.165618692	0.045837544	0.260735437	0.108828598
ENSMUSG00000000532	36.45304286	38.3789708	38.78569326	37.88715423	26.60027934	33.09062463	31.38268566	24.59125462	26.13938082	23.79432853	25.28559446	25.68994858
ENSMUSG00000000538	1.64372688	1.637601747	1.473994041	1.504768708	1.523084103	1.461220379	1.231382688	1.431806964	1.290249411	1.040087062	1.208497934	1.188604368
ENSMUSG00000000544	0	0	0.04433157	0	0	0.032064995	0	0.068713185	0.013826743	0	0.017414082	0
ENSMUSG00000000552	37.31676823	30.05514258	37.26766004	33.13354537	29.29117923	29.65545994	30.78396863	27.84254655	29.14073893	26.05819385	33.81466613	27.96968592
ENSMUSG00000000555	40.3707411	36.22904907	39.42247847	31.38190898	44.77426211	62.2149217	67.07975661	35.47069069	31.44330809	33.01863917	27.04008084	27.94055578
ENSMUSG00000000560	0	0	0	0.068393345	0	0	0	0	0	0	0	0
ENSMUSG00000000561	2.952310043	3.009162789	3.188238486	2.8915832	2.518982542	3.278402718	3.655159859	3.210003466	3.269311286	3.236697765	3.703637871	3.797644573
ENSMUSG00000000562	1.552150737	1.054141801	1.451936105	1.276320047	1.273612328	1.61566836	1.751045271	1.461847961	1.764953497	1.43972547	1.491662421	1.464956037
ENSMUSG00000000563	23.76357902	25.50167939	25.41124882	25.49158039	22.66978022	23.13944107	24.34481819	22.14767584	34.17053896	37.05450477	33.36167512	33.84080826
ENSMUSG00000000567	0	0	0	0.158255749	0	0	0.02814502	0	0	0	0	0
ENSMUSG00000000568	7.313471524	5.935892102	6.768141317	6.158098062	8.45809725	9.431489528	9.364146867	7.488634743	12.91464608	12.88228537	13.47082546	16.4634845
ENSMUSG00000000579	2.368819732	1.979756633	2.059434549	1.610986833	1.040979077	1.075813311	1.810387129	1.182255113	1.724761376	1.264166375	1.857647891	1.875883836
ENSMUSG00000000581	7.340463832	7.343332594	7.727407889	9.364131194	9.631135398	10.16397478	11.1331698	9.133414427	9.772585287	11.14781065	9.563707657	10.30493013
ENSMUSG00000000594	86.41543562	84.49128317	86.60553995	87.13010488	83.09228342	82.87442381	83.07595577	81.72991855	62.20272071	59.7179015	70.48162169	67.68033883
ENSMUSG00000000600	3.034403793	2.867328224	3.170048689	2.506715523	2.395527339	2.316778455	2.454336616	2.729734435	2.382537235	2.515997477	2.352121891	2.147587455
ENSMUSG00000000605	34.49353712	34.95723489	33.62273572	35.05647434	36.11486433	32.04574787	30.6837584	35.97963252	25.54318307	24.00496583	25.58952576	27.44381242
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0	0.007840174	0
ENSMUSG00000000627	0.047468527	0.035103827	0.055789291	0	0.040607601	0.026901572	0.145778276	0.038432204	0.023200447	0.025684336	0.029219788	0
ENSMUSG00000000628	5.222547518	4.707016655	6.379550458	5.149370115	7.466850084	10.40021507	7.709966641	7.076629944	8.543927347	9.713767249	6.943070825	7.582722817
ENSMUSG00000000631	0.821227804	0.700840484	0.793622302	0.707128742	0.663448135	0.58065716	0.540679991	0.733459668	0.630660044	0.630351485	0.622463785	0.616245255
ENSMUSG00000000632	0	0	0	0.006897874	0	0	0	0.005821465	0	0	0	0
ENSMUSG00000000673	1.860673034	3.508802713	2.952221335	3.346908353	1.59173822	1.265386524	2.666636985	2.259700375	2.660029998	1.132622467	1.889841171	2.151279548
ENSMUSG00000000682	41.41459457	42.96764808	42.75691226	43.23631836	24.0359293	23.33259769	23.2759314	31.65694959	41.25706527	43.76280622	36.74023041	37.39871442
ENSMUSG00000000686	8.153474269	8.70316018	6.906774561	7.305408727	4.974623489	7.245022767	4.755975157	5.30598441	10.28592926	8.51540004	9.772773446	8.419003887
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	0.755844575	1.197772741	1.348368137	1.126513007	0.611958433	0.768745223	0.939548459	0.754020405	0.930152561	1.051645944	0.872378735	0.962324919
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708	5.658217612	5.59429851	4.98753541	5.354401545	5.182384483	4.182586779	4.690443303	5.359132793	5.613620245	5.678021981	5.621983554	5.688641835
ENSMUSG00000000711	56.91537869	56.56250994	51.57231797	57.30541384	48.84263308	40.26320231	39.0750396	46.53134187	46.59673522	40.19004335	45.82167532	45.49583655
ENSMUSG00000000724	0.10551009	0.117039905	0	0	0.045130026	0.044846355	0.054004481	0.064068535	0.116029151	0.085634317	0.048710945	0.203315051
ENSMUSG00000000730	0	0.039335776	0	0	0	0.05024116	0.121001931	0.028710271	0.025997382	0.019187144	0.010914128	0
ENSMUSG00000000731	0	0	0	0	0.003565466	0	0	0	0	0	0	0
ENSMUSG00000000732	21.86290814	19.90495879	24.58018246	22.43817879	27.48976955	37.10059568	42.22774201	23.9464286	15.57475232	11.95237256	14.32130068	14.34778306
ENSMUSG00000000738	3.594612127	3.800718214	3.814957407	3.537837679	3.424732549	3.198809218	3.205932495	3.306966896	3.380088525	3.522426129	3.219151398	3.254862942
ENSMUSG00000000739	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000740	59.45925816	57.63433736	60.88421148	63.52920379	64.05090285	60.93663371	61.52055941	60.3097038	70.12050047	78.8083204	71.63078431	65.30360777
ENSMUSG00000000743	26.61275636	25.09129182	25.16705924	25.49211171	27.39744702	29.04784703	27.70944214	25.38727027	28.74529667	28.40780196	30.56118041	26.07999611
ENSMUSG00000000751	7.051479741	6.818632687	6.958629481	6.641500836	5.645374482	4.840932934	5.924208578	5.517714311	15.37333793	17.3446077	16.09698547	16.26203302
ENSMUSG00000000753	0.034325822	0.057115262	0.0201714	0.049395193	0.088093483	0	0.052708178	0.020843553	0.03774801	0.041789392	0.031694471	0
ENSMUSG00000000759	2.461211087	2.255882091	2.718692287	2.263852683	2.499374368	2.828488174	2.772013045	3.022311118	3.40382945	3.283316346	3.542934465	3.179395476
ENSMUSG00000000766	0.009962286	0.011050934	0.011708577	0.007167914	0.004261187	0.01482041	0.012747788	0.009074048	0.001825916	0.006064209	0	0.004799263
ENSMUSG00000000776	4.47366935	4.590347671	4.502042071	4.023533701	7.367093757	8.865758268	8.93026389	5.46701883	5.165665732	4.788287295	4.130726488	4.256440093
ENSMUSG00000000782	0.998439005	0.868076057	0.824590344	0.893123249	0.438606432	0.642304553	0.690598487	0.196630942	0.237401206	0.262817879	0.298994788	0.259995214
ENSMUSG00000000787	60.8130836	64.35222061	67.62198937	62.85476888	86.70975765	94.9260002	90.69811256	84.77594757	57.03956318	51.4660236	64.86784495	71.29017931
ENSMUSG00000000791	0.079141749	0.087790113	0.18602903	0.056942875	0.27081157	0.033638669	0.324064482	0.048056976	0	0	0.036537448	0
ENSMUSG00000000792	0	0	0	0	0	0	0.039747151	0	0.056931425	0.031513312	0	0.03740983
ENSMUSG00000000794	51.82836372	55.88037037	51.40693823	51.10140939	38.15874543	27.24270052	27.32876929	51.23672065	41.28461566	42.94942993	40.86404168	42.77529566
ENSMUSG00000000804	7.687776031	7.346676964	6.703047826	7.707963422	6.576613255	6.336405285	5.73929338	7.445642988	5.689377532	5.408062654	5.824747884	6.077991856
ENSMUSG00000000805	99.81807478	90.35752141	115.773733	92.92174299	81.18923737	119.1799048	132.2340285	97.90809153	205.4843792	285.4873993	175.2111416	199.7405063
ENSMUSG00000000811	0.618560328	0.165623543	0.752056383	0.460403978	0.91233776	0.997263465	1.33192478	0.647597059	0.703685234	0.605906978	0.571142687	0.554872713
ENSMUSG00000000817	0	0.107648739	0	0	0.083017674	0.082495856	0	0.117855478	0	0	0.044802427	0.046750313
ENSMUSG00000000823	2.675815203	2.470926569	2.552110829	2.056300898	2.768447617	3.501331528	3.513618726	2.526562218	2.326338003	1.682822501	2.865227017	2.503872455
ENSMUSG00000000826	17.80633272	18.68446942	17.36179834	16.31954155	22.36273063	23.16488961	22.91179873	20.88803256	19.36425682	20.53170758	20.27313678	20.64383692
ENSMUSG00000000827	3.675258139	3.581624261	3.680696061	3.286835443	3.315644163	3.245298719	3.444360935	3.386862587	3.500884102	3.634121575	3.584704162	3.385204276
ENSMUSG00000000838	2.150924345	2.104219274	2.104744072	1.920042571	2.013314769	2.003392975	1.958311536	1.999170214	2.670611943	2.815621724	3.170537013	3.138007677
ENSMUSG00000000861	0.082318061	0.052179156	0.082926517	0.067689426	0.005030008	0	0.04213383	0.035704084	0.008621423	0.033405577	0.043432981	0.05665166
ENSMUSG00000000869	0.150512519	0	0.235861166	0.144392657	0.128757995	0.12794867	0.051359072	0.182790414	0.183909105	0.081439521	0.04632484	0.096677832
ENSMUSG00000000876	18.77246302	23.49744713	21.983296	22.76385375	15.82683991	15.15020761	12.51020499	16.11957836	17.81931512	13.94121062	21.15740778	17.95618245
ENSMUSG00000000881	0.012316687	0	0.004825227	0.005907944	0.010536478	0.006980167	0.016811189	0.01495804	0.006019834	0.00666433	0.003790838	0
ENSMUSG00000000884	0.153614639	0.149953029	0.166098425	0.168000255	0.136668216	0.141032601	0.220153929	0.29103016	0.193705928	0.28426363	0.255309908	0.272330302
ENSMUSG00000000889	0	0	0	0.059338731	0	0	0	0	0	0	0	0
ENSMUSG00000000901	0.039276947	0.043569009	0.046161807	0.05651991	0.033600002	0.033388805	0	0.023850007	0	0.015939018	0	0.0189214
ENSMUSG00000000902	4.07962951	3.867484876	3.987122194	3.434941178	2.710299669	2.705561757	2.88042798	3.250305172	4.146963693	4.25044139	3.993975183	4.09096026
ENSMUSG00000000903	0	0.186278431	0	0	0.071828069	0	0.085952479	0	0	0	0.155054781	0
ENSMUSG00000000915	5.006908422	5.105882562	5.240150196	4.734114571	8.048025615	7.715320527	7.414974972	6.255891151	4.019810955	2.54128722	4.196751791	4.073365048
ENSMUSG00000000916	2.613676959	3.072901715	3.274164708	2.747634828	2.891949936	3.445865776	3.765035709	2.946103029	3.373375047	3.645618171	3.222573702	2.608717673
ENSMUSG00000000934	3.763682979	5.235275514	4.002141353	3.610651062	2.913056594	3.910446649	3.730509236	4.280606349	5.343356808	5.96391496	6.343557536	5.813523043
ENSMUSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000942	0	0	0	0.102632924	0	0	0	0	0	0	0	0
ENSMUSG00000000948	0.056767871	0	0	0.081689521	0.016187617	0.032171736	0.096853909	0.022980641	0.013872771	0	0	0.036463377
ENSMUSG00000000957	0.437763274	0.388480547	0.154349654	0.314972815	0.299592469	0.520991352	0.044813114	0.372150116	0.288844228	0.639536999	0.202102593	0.421778913
ENSMUSG00000000958	24.41460144	26.493802	24.70199763	23.06547985	16.11839303	16.78409394	15.70201721	17.46794808	25.56460203	24.55390144	25.63043951	23.52313375
ENSMUSG00000000959	23.06045023	24.03763627	23.14804223	21.43416111	22.56750619	19.60337901	19.61093667	22.93863407	23.05709244	21.04681322	20.54702253	17.59319075
ENSMUSG00000000976	5.639462365	4.879241895	5.406744162	4.616541656	3.909540152	3.910694513	4.771266441	4.300449039	4.896274343	4.814565131	4.787971661	4.549014141
ENSMUSG00000000982	10.24074601	12.51226868	13.78017325	21.57086803	120.4898039	79.48518841	54.84733181	96.97182611	14.36277294	13.25040139	12.19649573	16.01570518
ENSMUSG00000000983	0	0.063950557	0.135512526	0	0	0.049008061	0	0	0.084531041	0.233952781	0	0.055545631
ENSMUSG00000001014	0.376032378	0.973289396	0.883894272	0.360742845	0.321682046	0.319660074	1.026501936	0.761122894	0.275681169	0.406928234	0	0
ENSMUSG00000001016	21.20469388	19.7507064	22.00962443	20.97821121	14.14710791	13.61733554	16.45713345	20.15382441	38.44212976	38.91001158	34.63600028	36.36394795
ENSMUSG00000001017	6.503797671	6.708950028	6.44225918	6.026647087	6.332995108	6.188476341	6.254326871	6.731725643	7.030295438	7.418068684	7.028847683	7.043675855
ENSMUSG00000001018	7.730549618	7.315668507	7.391705922	7.709521314	6.787563947	6.497380621	6.393504014	6.311969058	7.503312517	7.255010867	8.186451646	8.023381055
ENSMUSG00000001020	4.438236008	5.49129794	4.313408472	3.438973459	1.241245112	1.958997887	1.922186527	2.798669451	1.251465565	2.216720168	1.497349588	1.891387105
ENSMUSG00000001021	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001023	0	0	0	0	0.114015481	0	0	0	0	0	0	0
ENSMUSG00000001025	13.44006314	9.997633322	14.86679842	11.14916152	6.492697986	4.838915504	5.988939232	5.184739512	4.752784243	4.491633093	4.087925497	4.113312321
ENSMUSG00000001027	0.048439336	0.035821758	0.037953515	0.023234893	0.013812698	0	0.016528853	0.058827308	0.011837467	0.026209623	0	0
ENSMUSG00000001029	0.548278321	0.321984249	0.720196217	0.510515087	0.469032196	0.466084036	0.693325616	0.509185818	0.449249511	0.2879378	0.476469047	0.124296152
ENSMUSG00000001034	1.312455292	1.206844848	1.238071834	1.292224627	1.680443489	1.501057736	1.555676879	1.646347001	1.687019114	1.611842533	1.550683241	1.177180093
ENSMUSG00000001036	0.01905967	0.021142452	0.026880771	0.049368694	0.016304856	0.003240474	0.031217719	0.018517663	0.019562542	0.0061877	0.017598593	0.003672746
ENSMUSG00000001039	0.147224971	0.130650606	0.103819231	0.169486537	0.176323863	0.050061588	0.090427084	0.143038273	0.323805775	0.119491035	0.190314584	0.198588937
ENSMUSG00000001052	7.095628604	8.721660576	7.774773765	7.990388057	8.251477796	8.796518752	9.249841895	9.312977256	6.753154311	6.861271348	6.406666984	6.836540874
ENSMUSG00000001053	2.664089469	2.055800265	1.973940486	2.000165627	0.743162546	1.920077399	1.689668988	1.160528239	1.974357467	2.491269373	2.326177167	1.701909069
ENSMUSG00000001054	10.14392698	9.27977664	8.683967501	8.10956115	9.020586342	8.559340404	8.820137035	9.916296078	9.475074909	8.883546362	9.320059707	7.939488572
ENSMUSG00000001056	19.12038373	14.65772788	18.60738683	16.82410338	21.25341389	24.743322	23.43800269	18.63581072	33.92832406	37.26422959	33.6225538	31.74020737
