"","dex.high6_Vs_control3.baseMean","dex.high6_Vs_control3.log2FoldChange","dex.high6_Vs_control3.lfcSE","dex.high6_Vs_control3.pvalue","dex.high6_Vs_control3.padj","dex.high6_Vs_control3.SYMBOL","dex.high6_Vs_control3.ENTREZID","dex.high6_Vs_control3.GENENAME"
"ENSG00000103196",385.758636790309,2.50157923057119,0.16012026911447,4.34123522487011e-56,3.08661824488265e-52,"CRISPLD2",83716,"cysteine rich secretory protein LCCL domain containing 2 "
"ENSG00000141338",490.768532547055,1.92001503746332,0.126003600015913,1.48470872250243e-53,5.27813950849614e-50,"ABCA8",10351,"ATP binding cassette subfamily A member 8 "
"ENSG00000087303",196.283070173007,2.75474754227582,0.184618944412659,2.37053651601542e-51,5.61817154295655e-48,"NID2",22795,"nidogen 2 "
"ENSG00000231924",553.559631039925,-2.10819601489807,0.148776274525104,9.05551009566827e-47,1.60961691950504e-43,"PSG1",5669,"pregnancy specific beta-1-glycoprotein 1 "
"ENSG00000134363",278.834967328559,-2.43834769256367,0.176648371181069,1.28054178783489e-44,2.02325602477913e-41,"FST",10468,"follistatin "
"ENSG00000117525",685.732414002843,-1.93190995464551,0.148274861682757,5.11406802344241e-40,7.27220472933511e-37,"F3",2152,"coagulation factor III, tissue factor "
"ENSG00000115461",222.009681729413,-2.28204478564015,0.174961752906724,1.15503752438612e-39,1.49314850879733e-36,"IGFBP5",3488,"insulin like growth factor binding protein 5 "
"ENSG00000196159",276.968021826173,1.88616973388558,0.150081635755092,2.07058121266883e-37,2.26489729570391e-34,"FAT4",79633,"FAT atypical cadherin 4 "
"ENSG00000169908",406.27714485245,-1.8774987218651,0.158152139227166,7.70056552773e-34,6.84387761277004e-31,"TM4SF1",4071,"transmembrane 4 L six family member 1 "
"ENSG00000153531",87.7349364209794,3.60448938935724,0.318798546308904,4.55631386302683e-30,3.81122253719068e-27,"ADPRHL1",113622,"ADP-ribosylhydrolase like 1 "
"ENSG00000204767",269.898060748262,-1.55178352390503,0.15152582037312,5.47942536249117e-26,3.3877142893315e-23,"INSYN2B",100131897,"inhibitory synaptic factor family member 2B "
"ENSG00000185483",79.9985134608612,2.23380531907942,0.219925491838896,4.29496316156654e-25,2.44297504629905e-22,"ROR1",4919,"receptor tyrosine kinase like orphan receptor 1 "
"ENSG00000157514",186.018375905686,2.12040199698232,0.209597426141384,4.69834136802738e-25,2.56963131743651e-22,"TSC22D3",1831,"TSC22 domain family member 3 "
"ENSG00000154175",147.682915084413,-1.5507423313327,0.171001272784803,7.16104316908572e-21,2.75216307741619e-18,"ABI3BP",25890,"ABI family member 3 binding protein "
"ENSG00000136869",71.7884867913782,1.99163740424687,0.224122800774452,4.06358663723911e-20,1.52063689425106e-17,"TLR4",7099,"toll like receptor 4 "
"ENSG00000146038",74.7205007763898,-2.57846398521917,0.293526736927364,5.96482601319367e-20,2.12928858162371e-17,"DCDC2",51473,"doublecortin domain containing 2 "
"ENSG00000169432",97.0822291233367,-1.59407882314022,0.186751303900113,1.01175754867687e-18,3.12765050917068e-16,"SCN9A",6335,"sodium voltage-gated channel alpha subunit 9 "
"ENSG00000285972",137.84753061498,1.58460629205784,0.189199725358095,3.16889457468445e-18,9.38785017750267e-16,"CERNA2",NA,"competing endogenous lncRNA 2 for microRNA let-7b "
"ENSG00000175040",55.9418354480688,1.98897084521351,0.244166210565909,1.09970550550898e-17,3.12756245766754e-15,"CHST2",9435,"carbohydrate sulfotransferase 2 "
"ENSG00000082126",28.7576521170841,-2.8390453814015,0.343579847224989,1.56984319720061e-17,4.29291735849858e-15,"MPP4",58538,"membrane palmitoylated protein 4 "
"ENSG00000285417",75.9016465645538,1.72990118859514,0.236133065022827,1.71732587226867e-14,3.39171859773063e-12,"BX571818.1",NA,"novel pseudogene"
"ENSG00000117152",54.1951252863676,-1.56167236581304,0.250397958037761,2.22218959475044e-11,3.22444245279095e-09,"RGS4",5999,"regulator of G protein signaling 4 "
"ENSG00000125384",58.3832327998409,1.53119674136207,0.244248161992531,2.60691678931656e-11,3.67033235089916e-09,"PTGER2",5732,"prostaglandin E receptor 2 "
"ENSG00000212724",140.648072309311,-1.62692156742308,0.264523990150869,3.92955214880472e-11,5.32173633866696e-09,"KRTAP2-3",730755,"keratin associated protein 2-3 "
"ENSG00000138347",28.3069671343248,-1.92203397872344,0.325321193503081,2.27348193779879e-10,2.62836692321128e-08,"MYPN",84665,"myopalladin "
"ENSG00000161896",38.2807039802021,1.96135334245026,0.33294581183204,2.94959335125013e-10,3.27681386365444e-08,"IP6K3",117283,"inositol hexakisphosphate kinase 3 "
"ENSG00000276850",44.0143946606192,1.56713549946003,0.273581819858799,7.30498998244023e-10,7.58915349624575e-08,"AC245041.2",NA,"novel transcript"
"ENSG00000167772",12.3096409118032,2.95678378695881,0.560378639498809,2.14630938066781e-08,1.60634312595244e-06,"ANGPTL4",51129,"angiopoietin like 4 "
"ENSG00000221878",17.299247026975,-2.21208646762508,0.438378692569395,2.85637703100992e-08,2.0723306827021e-06,"PSG7",5676,"pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene) "
"ENSG00000100342",24.871385404585,2.16444871789066,0.423719129083768,3.40835912506639e-08,2.4233433379222e-06,"APOL1",8542,"apolipoprotein L1 "
"ENSG00000204531",38.6998038524244,1.89874142880366,0.380871408787548,3.98797050428529e-08,2.7798500279871e-06,"POU5F1",5460,"POU class 5 homeobox 1 "
"ENSG00000188158",11.48076914956,-1.89784980599203,0.477275140522076,3.12736006468314e-06,0.000140731202910741,"NHS",4810,"NHS actin remodeling regulator "
"ENSG00000011465",9.27410712150492,3.57795726370568,0.84395469671058,8.51006884840453e-06,0.000337084064134575,"DCN",1634,"decorin "
"ENSG00000111319",16.2757980063134,4.24061826798342,0.980576908564488,1.06058857909753e-05,0.000404331624524581,"SCNN1A",6337,"sodium channel epithelial 1 subunit alpha "
"ENSG00000168874",15.7405976689221,2.31881609259232,0.605815910644436,1.27592152092532e-05,0.000468826977456281,"ATOH8",84913,"atonal bHLH transcription factor 8 "
"ENSG00000125730",10.8424536387611,2.13495321465178,0.586195520440015,2.13710811822757e-05,0.00072876924319415,"C3",718,"complement C3 "
"ENSG00000109819",15.6293175848136,2.08193604760394,0.5944683577953,3.63420488585458e-05,0.00114840874393005,"PPARGC1A",10891,"PPARG coactivator 1 alpha "
"ENSG00000163884",14.3830231694942,-1.50459535997808,0.448610745268768,3.6752202133121e-05,0.00115879448854319,"KLF15",28999,"Kruppel like factor 15 "
"ENSG00000131386",10.5631915066391,-1.83363498253707,0.591606943436888,9.38772244654365e-05,0.00256225361208927,"GALNT15",117248,"polypeptide N-acetylgalactosaminyltransferase 15 "
"ENSG00000138316",9.58002465665442,2.45726595556182,0.72689643340888,9.60717431490964e-05,0.00260713776255754,"ADAMTS14",140766,"ADAM metallopeptidase with thrombospondin type 1 motif 14 "
"ENSG00000225614",16.1140790271395,1.56215523686023,0.50095896980691,9.98469732773541e-05,0.002694163111962,"ZNF469",84627,"zinc finger protein 469 "
